,0,1
0,nodes,455
1,time,320
2,data,313
3,packet,292
4,networks,288
5,node,262
6,routing,258
7,energy,226
8,sensor,222
9,value,208
10,mobility,196
11,uav,189
12,number,189
13,yol,176
14,network,170
15,wireless,155
16,ve,148
17,covered,143
18,hoc,140
19,ad,139
20,protocols,139
21,area,136
22,swr,129
23,atama,128
24,path,118
25,pattern,118
26,algorithm,116
27,bir,114
28,htl,113
29,protocol,111
30,carry,111
31,packets,110
32,delay,107
33,delivery,96
34,figure,92
35,consumption,91
36,dü,90
37,approach,88
38,paths,87
39,performance,86
40,lifetime,86
41,gpsr,85
42,results,84
43,use,83
44,threshold,83
45,connectivity,80
46,hop,80
47,communication,79
48,realtime,79
49,values,79
